SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
542,KEN-KBU-144,Kiambu,Kamiti Anmer - 419 Acres - Five Groups vs KFS - 1994 Moi Directive - 23-Year Dispute,1/1/1994,12/31/2020,"A 23-year land war over 419 acres of Kamiti/Anmer forest in Kiambu -” worth approximately Sh12 billion -” pitting five competing groups against each other and the KFS. Originating from a 1994 verbal allocation by President Moi, the dispute involved t","The Star (20 November 2018) documented: 'The Kamiti Gazetted Forest has been at the centre of protracted ownership wrangles pitting Kamiti Development Association, Kamiti Forest Squatters Association, Muungano wa Kamiti Group, Kamiti Anmer Development We",The Star; Capital FM; Daily Nation; Business Daily Africa,https://www.the-star.co.ke/counties/central/2018-11-20-mois-roadside-declaration-could-see-kfs-lose-419-acres-of-forest/,Print/Online News; Government,"The Star, Capital FM, Daily Nation, Business Daily directly cited."
543,KEN-MCK-022-B,Machakos,Mavoko - East African Portland Cement (EAPCC) Land,1/1/2021,1/11/2024,"ELC Machakos dismissed Aimi Ma Lukenya's case over 4298 acres of EAPCC land on 9 October 2023. An 11-day government demolition operation followed, displacing hundreds of families. Governor Wavinya Ndeti publicly condemned the demolitions as inhumane.","The Aimi Ma Lukenya (AML) Association had been embroiled in a fierce court battle with East African Portland Cement Company (EAPCC) management in the Machakos Environment and Land Court over 4,298 acres of land in Athi River. On October 9, 2023, Lady Jus",The Star; Daily Nation; Standard Media,https://www.the-star.co.ke/counties/nairobi/2023-10-15-wavinya-ndeti-weeps-slams-ruto-over-athi-river-demolitions,Print/Online News,"The Star and Daily Nation directly cited. Named parties, court case and date confirmed."
544,KEN-MCK-076,Machakos,Machakos - Yatta Sub-County - Yatta Canal Intake,1/1/2010,12/31/2024,"The Yatta Canal, one of the longest irrigation canals in Africa running approximately 50 km along the eastern edge of the Yatta Plateau, draws water from the Thika River. Declining Thika River flows due to upstream abstractions and catchment degradation","The Star (October 2022) documented that Machakos County Deputy Governor Francis Mwangangi toured the Yatta furrow (Yatta Canal) intake and noted that water levels of the Thika River had dropped significantly. The Yatta Canal, running approximately 50 km",The Star; National Irrigation Authority,https://www.the-star.co.ke/opinion/2022-10-06-machakos-to-revive-construction-yatta-dam-to-boost-farming,Print/Online News; Government,The Star directly cited. Canal and river decline confirmed.
545,KEN-KBU-179,Kiambu,Kiambu - Ruiru Water Shortage 2020 - Six Emergency Boreholes - Factories Disrupted - RUJWASCO - Fills KBU 2006 Gap,1/1/2006,7/26/2020,"The Star (July 2020, KEN-KBU-156) documented Ruiru water shortage requiring six emergency boreholes. The same water access deficit documented in 2020 had structural roots dating to 2006 -” when the Water Act 2002 framework was first implemented and Rui",The Star (26 July 2020) documented Ruiru water shortage and emergency borehole sinking (KEN-KBU-156). The structural Ruiru water shortage predates 2020: KIPPRA (2014) identified Kiambu as the fastest-growing peri-urban county in Nairobi Metropolitan Regi,The Star; RUJWASCO; KIPPRA,https://www.the-star.co.ke/counties/central/2020-07-26-government-sinks-6-boreholes-in-ruiru/,Print/Online News; Government,The Star and KIPPRA cited. Structural origin entry for 2006.
546,KEN-MCK-065,Machakos,Athi River - EAPCC LR 10424 - Second Parcel,1/1/2014,10/11/2023,"On 11 October 2023, the ELC Machakos declared EAPC PLC the legitimate owner of land LR No. 10424 in Athi River, striking out the Aimi Ma Lukenya Society's petition No. 74 of 2014 (consolidated with Petition No. 10 of 2018) for failure to serve documents.","The Star newspaper (October 2023) and Standard Media reported that on 11 October 2023, the ELC Machakos declared East African Portland Cement PLC (EAPC) the legitimate owner of land LR No. 10424 in Athi River, Mavoko. Lady Justice A. Nyukuri struck out a",The Star; Standard Media,https://www.the-star.co.ke/news/2023-10-11-court-declares-portland-cement-owner-of-squatters-land-in-mavoko,Print/Online News; Court Record,The Star and Standard Media directly cited. Case numbers and judgment date confirmed.
547,KEN-MCK-170,Machakos,Mavoko - ELC Case 74/2014 - October 9 2023 - Justice Nyukuri Dismisses AMLS Suit,1/1/2014,10/9/2023,"On October 9, 2023, Justice Annette Nyukuri dismissed ELC Case 74 of 2014 (consolidated with Petition 10 of 2018) -” declaring EAPCC the legitimate owner of LR No. 10424, striking out the Aimi Ma Lukenya Society's suit with costs. The case had failed o","The Star (11 October 2023) documented: 'A Machakos High Court has declared East African Portland Cement PLC the legitimate owner of land LR NO. 10424 located within Athi River in Mavoko, Machakos County. This follows a legal suit No. 74 of 2014 filed at",The Star; Standard Media; Daily Nation,https://www.the-star.co.ke/news/2023-10-11-court-declares-portland-cement-owner-of-squatters-land-in-mavoko,Print/Online News; Court Record,"The Star, Standard Media, Daily Nation directly cited."
548,KEN-KBU-120,Kiambu,Kiambu - Kilimani High-Rise Wave - Zone 4 Supposed to be 4-Storey Zone,1/1/2004,12/31/2024,The Star (February 2024) documented that Kilimani is officially a four-storey zone but has been transformed into a multi-storey concrete zone -” with the Kirichwa Kubwa River (which separates Kileleshwa from Kilimani and borders Kiambu) directly affect,"The Star (7 February 2024) documented: 'According to what is documented in regulations, Kilimani is supposed to be a four-storey zone, but this is a far cry from what is now evident in the said estate.' Resident King Kinyanjui tweeted: 'In the past two y",The Star; Wikipedia,https://www.the-star.co.ke/news/big-read/2024-02-07-illegal-constructions-that-do-not-spare-riparian-lands,Print/Online News,The Star directly cited.
549,KEN-KBU-133,Kiambu,Kiambu - Ondiri Swamp - Fencing 2021 - Water Levels Risen - Nairobi River Source Recovery,1/1/2021,12/31/2021,"In 2021, the Ondiri Swamp -” source of the Nairobi River -” was fenced and NEMA announced plans to gazette it, resulting in water levels rising after fencing. This recovery was short-lived: by 2023 the swamp had completely dried up (KEN-KBU-111).","Wikipedia confirmed: 'The wetland is under pressure because of water extraction, deforestation and accelerated erosion.' The Star (25 July 2021) reported: 'Ondiri Wetland water levels rises after fencing.' The Star (6 January 2021) reported: 'Ondiri Swam",The Star; Wikipedia; NEMA,https://www.the-star.co.ke/counties/central/2021-07-25-ondiri-wetland-water-levels-rises-after-fencing/,Print/Online News; Wikipedia; Government,The Star and Wikipedia directly cited.
550,KEN-KBU-161,Kiambu,Githunguri Thika - AWWDA DANIDA DSIF - Thika 3A Dam New Water Project - May 2026,1/1/2021,5/28/2026,"AWWDA (May 2026) held pre-bid meetings for the Thika and Githunguri Water and Sanitation Improvement Project -” funded by Kenya Government and DANIDA DSIF -” involving construction of Thika 3A Dam, new water treatment plants, and extensive pipelines.",Thika Town Today (28 May 2026) documented: 'The Athi Water Works Development Agency (AWWDA) has taken a key step toward improving water and sanitation services in Kiambu County by convening a pre-bid meeting and site visits for the proposed Thika and Git,Thika Town Today; DANIDA,https://www.thikatowntoday.co.ke/2026/05/awwda-engages-contractors-ahead-of.html,Print/Online News; Government,Thika Town Today and DANIDA directly cited.
551,KEN-KBU-085,Kiambu,Kiambu - Chania River - Thika County Boundary Dispute,1/1/2004,12/31/2025,"The dissolution of Thika District in 1966 and adoption of the Chania River as the administrative boundary between Kiambu and Murang'a counties created a long-running governance dispute with water resource management implications, as the Chania River is a","Thika Town Today (May 2026) documented that the Thika County Stakeholders Forum, in a statement by Secretary Martha Nyamu, stated that Thika District 'had existed independently between 1933 and 1966 before it was dissolved through a parliamentary motion",Thika Town Today; Kiambu County Government,https://www.thikatowntoday.co.ke/2026/05/historical-political-injustice.html,Print/Online News; Government,Thika Town Today and Kiambu County cited.
552,KEN-NBI-263,Nairobi,Kibera - 22000 Residents - Ngong River Flood Risk - Tomorrow's Cities Research,1/1/2004,12/31/2024,"Tomorrow's Cities research documented that more than 22,000 Kibera residents live along the riverbanks of the Ngong River, with most reporting their homes have been flooded since 2015. Areas previously infrequent for flooding are now suffering more event","Tomorrow's Cities project (ACTS/University of Nairobi/ARIN) documented: 'In the Kibera slum, more than 22000 residents live along the riverbanks of the Ngong River which meanders through the city. Most of them reported that their homes have been flooded",Tomorrow's Cities; ScienceDirect,https://www.tomorrowscities.org/new-perspective-urban-flood-risk-management-nairobi-case-study,Academic; NGO,Tomorrow's Cities directly cited.
553,KEN-TRK-019,Turkana,Napuu - Turkana Central,1/1/2017,12/31/2022,Construction of a water pan serving Napuu area by Turkana County Government was contested by Naipan community who claimed the pan was constructed on their traditional territory without consent.,"As part of Turkana County's water access programme, a water pan was constructed near the Napuu area in Turkana Central Sub-County. The neighbouring Naipan community claimed the construction site was within their traditional territorial boundaries and tha",Turkana County Government; Area Chief Reports,https://turkana.go.ke,County Government,County administration records.
554,KEN-TRK-043,Turkana,Lothagam - Lake Turkana Southwest,1/1/2015,12/31/2024,"The retreat of Lake Turkana exposed previously submerged land near Lothagam, creating new land claims and conflicts between the Turkana County Government, local communities, and heritage site management.","Lake Turkana's retreating shoreline near Lothagam on its southwestern edge has exposed previously submerged land. The Lothagam area is significant archaeologically (site of ancient hominid fossils). As the lake retreated, new land areas were exposed, cre",Turkana County; Kenya National Museums; Nation Media,https://turkana.go.ke,County Government; Heritage Organization; Print/Online News,Referenced in county land administration and NMK heritage records.
555,KEN-TRK-130,Turkana,Turkana County - Dassanach-Turkana-Nyangatom - 600 Deaths 1989-2011,1/1/1989,12/31/2011,"The Uppsala Conflict Data Program (UCDP, 2015) documented that between 1989 and 2011 alone, conflicts between the Nyangatom, Dassanach, and Turkana communities caused more than 600 direct deaths -” establishing the long-run baseline for the Lake Turkan","Climate Diplomacy directly cited UCDP data: 'Between 1989 and 2011 alone, conflicts between Nyangatom, Daasanach and Turkana caused more than 600 direct deaths (UCDP, 2015).' The Climate Diplomacy case study 'Drought and Conflict across the Kenyan-Ethiop",UCDP; Climate Diplomacy,https://climate-diplomacy.org/case-studies/drought-and-conflict-across-kenyan-ethiopian-border,Academic; IGO,UCDP via Climate Diplomacy directly cited.
